RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,RD_OPTION_SIZE,RD_OPTION_COLOR,RD_REVIEWER_INFO,RD_REVIEW_IMAGES,PRODUCT_TITLE
20250408,3,,잘 사용 할 거 같아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250405,5,,끈적거리는 선크림이 너무 싫어서 리뷰서칭후 주문했습니다 ~~! 아직 제대로 써보진 않앗는데 일단 손발림성은 안끈적이고 촉촉해요 !,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250403,5,,발림성 나쁘지않고 촉촉한편이예요 백탁 거의 없었고 향도 크게 없는 편이예요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250403,5,,잘받았습니다. 감사합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250403,5,,썬크림 많이 써봤는데 조선미인이 백탁없고 끈적임없어서 정착했어요ㅎ 요거 이제 슬슬더워지니깐 이번엔 아쿠아로 구매했어요ㅎ 한달써보고 후기남길께요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250329,5,,사용전 하지만 마음에들어요 후기눈 사용후 올릴께요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250329,5,,운전할 때 사용하려고 구매하였는데 번들거리지않고 좋습니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250328,5,,저렴하게 구매했어요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250327,5,,잘받았습니다. 감사합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250326,5,,제가 로션처럼 발리는 선크림을 선호해요 제가 타사제품사용하다가 조선미녀가 좋다고 하길래구매를 했는데 수부지여러분들께 추천드립니다 백탁전혀없어 여기저기 바를수있어 좋아요 세일할때마다 사고싶어요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250325,4,,발림성이 좋고 간결해요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250325,5,,수분크림처럼 발려서 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250323,5,,자외선차단 크림 제가 사용하고 있는더 초등생 딸애이가 한번 써보고 좋아하서 재구매하서 하나씩 사용중입니다 넘좋네요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250323,5,,배송빠르고 제품도 만족합니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250322,5,,좋아요 여행갈 때도 꼭 챙겨가요ㅎ,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250321,5,,여러번 구매해서 사용중으로 최고,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250320,4,,잘 사용중이에요. 아쿠아프레쉬인데 기존 선크림이 더 촉촉한 것 같아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250319,5,,백탁이없어서너무좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250318,5,,잘 받았어요 마음에 듭니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250316,5,,잘받았습니다. 감사합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250315,5,,발림성 최고입니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250311,4,,창섭님 인마이백 보고 바로 주문했는데 순하고 발힘성 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250311,5,,너무 좋네요 ㅎㅎ 잘쓸게요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250311,5,,끈적임이없어 편하게 바를꺼 같아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250309,5,,너무 좋아서 동생한테도 선물주려고요 🫶,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250306,5,,잘받았습니다. 감사합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250306,5,,다른 선크림보다 순하고 부드러워서 계속 씁니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250303,4,,발림성 좋고 백탄 전혀 없고 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250301,5,,미국에 있는 며느리 사무실 직원들 선물로 보냈는데 모두 만족해하여 좋았어요.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250301,5,,미국에 보냈는데 대만족이랍니다. 보내주고 기분이 좋았어요.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250228,4,,우선 부드럽게 발려서 좋아요! 제가 피부가 매우 예민한편이라 좋다는 썬크림 추천 받아서 10개 정도 써봤는데 항상 피부에 트러블 올라오거나 얼굴이 건조해 지더라고요. 조선미녀도 약간 건조함이 있지만 그래도 아직까지는 트러블은 없는 것 같습니다. 좀 더 사용해 봐야 할듯 싶네요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250228,4,,무난해요~ 쓸만해요!,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250226,5,,너무 좋아요 발림성 좋고 부드럽고 백탁이 없어요 제가 지성인데 수분크림처럼 잘 발려요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250224,5,,완전 로션처럼 발리고 기본제품보다는 조금 건조한 느낌이라 지성분들이 쓰기에 더 나아요!,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250220,5,,적당히 쏘쏘 합니다. 백탁없고 그냥 사용하기에 좋아요.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250216,5,,외국에서도 유명하길래 사봤어요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250215,5,,부드럽고..아주 좋아요..또 구매하고 싶어요~~,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250215,5,,발림성 넘 좋네요 다만 유기자차에 주의,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250214,4,,백탁현상이 없고 부드럽고 촉촉합니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250214,5,,빠르게와서좋았어요~~~,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250213,5,,사용하기 간편해서 추천해요! 배송도 빨라서 좋아요!,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250212,5,,진짜 너무 좋아요. 백탁없고 부드러워 수시로 발라요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250211,5,,잘받았습니다. 감사합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250204,5,,정말부드럽고 좋습니다. 추천합니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250202,5,,이창섭님 인마이백 소개한거 보고 구매했는데 발림성 좋고 촉촉해요. 데일리로 바르기 넘 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250201,4,,외국인 친구가 사달래서 주문했는데 제가 쓰고 두개 더 구매했어요ㅋㅋ 백탁 없고 끈적임 없어서 엄마도 좋아하시네요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250130,5,,사용감이 너무 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250129,5,,와이프가 만족하면서 사용합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250128,5,,부드럽고좋아요 굿굿,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250127,5,,외국인 친구가 조선미녀 노래를 부르길래 사봤어요. 선물이라 박스개봉은 못해봤는데 유통기한도 넉넉하고 좋아보여요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250126,5,,두번째 사용하는 제품으로 추천,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250124,5,,백탁현상이 없고 촉촉합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250124,5,,"선 블록 저는 무조건 두겹을 바르는데 원래나온 조선미녀 만 두번 바르면 좀 번들거리고 두꺼운 느낌이 확실히 나서 비비 크림이라도 좀 바르고 외출하려면 더 가벼운 느낌의 자작나무를 밑에 바르고 조선미녀 썼습니다. 이제는 조선미녀 아쿠아를 기초 끝나고 발라놓고 나중에 조선미녀 오리지널 이렇게 씁니다, 아쿠아 정말 가볍고 그냥 로션 정도에요. 가벼운거 찾으시면 지금까지 써본 것중 가장 잘발리고 가법습니다",,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250120,4,,"맑은 제형으로 부드럽게 발림성이 좋아요.. 백탁현상 없고,자연스럽게 보여서 좋네요.함께 보내주신 아이크림도 좋은거 같아요. 잘사용 할께요..",,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250119,5,,넘 좋네요 계속쓸듯요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250118,5,,순한느낌 또구매할듯,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250117,5,,촉촉하고 또 구입예정입니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250117,4,,잘 사용하고 있습니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250115,5,,발림성 좋고 촉촉하다고해서 구매합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250115,5,,좋아요 좋아요 좋아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250115,5,,촉촉하게 얇고 부드럽게 잘 발립니다. 다만 화장품의 인공적인 그런 냄새가 납니다.. 그래도 잘 발리니 굉장히 유용합니다👍,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250115,5,,정말 촉촉하고 좋아요!! ㅎㅎ앞으로도 계속 쓸꺼에요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250115,5,,로션처럼 부드러운 발림성이에요. 가볍지만 충분히 촉촉하고요. 메이크업 전에 바르기 딱 좋아요!,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250114,4,,백탁없고 화장해도 밀림없이 촉촉한것 같아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250113,5,,끈적임없이 잘 발려요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250111,5,,흡수력이빠르고미끌거리않아서좋은거같아요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250110,5,,백탁없고 부드럽게 발려서 최애제품입니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250108,5,,친구한테 선물했는데 제품이 너무 좋대요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250105,5,,미국 사는 동생이 소문났다고 사달래서,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250104,5,,선물용으로 샀어요. 유통기한도 기네요,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250104,5,,순한 로션같은 느낌~다 좋은데 선크림 느낌이 없어서? 그런지 자외선 잘 되는지 의문이 드네요~ㅎ;;;,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20250104,5,,발림성도 좋고 편해요.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241231,5,,피부자극없고 만족합니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241231,5,,미국에서 부탁하여 주문했습니다. 연말인데도 배송이 빨라 만족입니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241229,5,,아주만족합니다~ 지인들도좋다고합니다 추천드려요~,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241228,5,,병원 간호사들에게 선물하려 한다고 미국에서 며느리가 부탁하여 구매했습니다.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241227,5,,사용감 아주 좋습니다,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
20241224,5,,미국에 있는 아들이 좋다고 하여 구매하였습니다. 상품포장이 친환경이어서 마음에 드네요.,,,,,조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml SPF50+ PA++++
